Step: 984, Loss: 1.616724, Acc: 0.217054
Step: 992, Loss: 1.616714, Acc: 0.232558
Step: 1000, Loss: 1.617147, Acc: 0.271318
Step: 1008, Loss: 1.614425, Acc: 0.193798
Step: 1016, Loss: 1.616567, Acc: 0.155039
Step: 1024, Loss: 1.613387, Acc: 0.186047
Step: 1032, Loss: 1.617256, Acc: 0.178295
Step: 1040, Loss: 1.612924, Acc: 0.248062
Step: 1048, Loss: 1.619529, Acc: 0.178295
Step: 1056, Loss: 1.616173, Acc: 0.170543
Step: 1064, Loss: 1.613756, Acc: 0.250000
Step: 1072, Loss: 1.614399, Acc: 0.234375
Step: 1080, Loss: 1.614705, Acc: 0.203125
Step: 1088, Loss: 1.613547, Acc: 0.234375
Step: 1096, Loss: 1.611582, Acc: 0.265625
Step: 1104, Loss: 1.614206, Acc: 0.203125
Step: 1112, Loss: 1.613319, Acc: 0.234375
Step: 1120, Loss: 1.615257, Acc: 0.171875
Step: 1128, Loss: 1.613277, Acc: 0.195312
Step: 1136, Loss: 1.614280, Acc: 0.171875
Step: 1144, Loss: 1.613619, Acc: 0.164062
Step: 1152, Loss: 1.613492, Acc: 0.187500
Step: 1160, Loss: 1.612936, Acc: 0.226562
Step: 1168, Loss: 1.611293, Acc: 0.289062
Step: 1176, Loss: 1.612865, Acc: 0.148438
Step: 1184, Loss: 1.613574, Acc: 0.179688
Step: 1192, Loss: 1.614967, Acc: 0.171875
Step: 1200, Loss: 1.614023, Acc: 0.179688
Step: 1208, Loss: 1.614402, Acc: 0.171875
Step: 1216, Loss: 1.608741, Acc: 0.273438
Step: 1224, Loss: 1.611025, Acc: 0.250000
Step: 1232, Loss: 1.610374, Acc: 0.234375
Step: 1240, Loss: 1.608230, Acc: 0.242188
Step: 1248, Loss: 1.613713, Acc: 0.203125
Step: 1256, Loss: 1.610963, Acc: 0.226562
Step: 1264, Loss: 1.610537, Acc: 0.210938
Step: 1272, Loss: 1.613835, Acc: 0.156250
Step: 1280, Loss: 1.614349, Acc: 0.148438
Step: 1288, Loss: 1.611140, Acc: 0.203125
Step: 1296, Loss: 1.609402, Acc: 0.203125
Step: 1304, Loss: 1.613781, Acc: 0.195312
Step: 1312, Loss: 1.611217, Acc: 0.187500
Step: 1320, Loss: 1.609494, Acc: 0.164062
Step: 1328, Loss: 1.613045, Acc: 0.187500
Step: 1336, Loss: 1.612450, Acc: 0.195312
Step: 1344, Loss: 1.611855, Acc: 0.171875
Step: 1352, Loss: 1.611097, Acc: 0.226562
Step: 1360, Loss: 1.612265, Acc: 0.125000
Step: 1368, Loss: 1.609855, Acc: 0.195312
Step: 1376, Loss: 1.610886, Acc: 0.218750
