Step: 0, Loss: 1.976671, Acc: 0.224806
Step: 8, Loss: 1.969107, Acc: 0.186047
Step: 16, Loss: 1.965354, Acc: 0.162791
Step: 24, Loss: 1.963464, Acc: 0.201550
Step: 32, Loss: 1.952419, Acc: 0.201550
Step: 40, Loss: 1.961936, Acc: 0.131783
Step: 48, Loss: 1.946851, Acc: 0.193798
Step: 56, Loss: 1.944218, Acc: 0.162791
Step: 64, Loss: 1.942598, Acc: 0.131783
Step: 72, Loss: 1.922931, Acc: 0.240310
Step: 80, Loss: 1.919314, Acc: 0.186047
Step: 88, Loss: 1.910180, Acc: 0.232558
Step: 96, Loss: 1.916724, Acc: 0.178295
Step: 104, Loss: 1.900694, Acc: 0.226562
Step: 112, Loss: 1.897807, Acc: 0.210938
Step: 120, Loss: 1.892345, Acc: 0.187500
Step: 128, Loss: 1.887345, Acc: 0.171875
Step: 136, Loss: 1.885441, Acc: 0.171875
Step: 144, Loss: 1.879673, Acc: 0.125000
Step: 152, Loss: 1.869586, Acc: 0.179688
Step: 160, Loss: 1.863905, Acc: 0.179688
Step: 168, Loss: 1.857012, Acc: 0.203125
Step: 176, Loss: 1.853762, Acc: 0.203125
Step: 184, Loss: 1.845555, Acc: 0.226562
Step: 192, Loss: 1.846987, Acc: 0.156250
Step: 200, Loss: 1.834966, Acc: 0.234375
Step: 208, Loss: 1.831624, Acc: 0.195312
Step: 216, Loss: 1.827154, Acc: 0.179688
Step: 224, Loss: 1.821048, Acc: 0.164062
Step: 232, Loss: 1.815773, Acc: 0.242188
Step: 240, Loss: 1.809050, Acc: 0.257812
Step: 248, Loss: 1.807958, Acc: 0.203125
Step: 256, Loss: 1.804911, Acc: 0.187500
Step: 264, Loss: 1.800753, Acc: 0.140625
Step: 272, Loss: 1.792979, Acc: 0.210938
Step: 280, Loss: 1.789882, Acc: 0.195312
Step: 288, Loss: 1.784618, Acc: 0.203125
Step: 296, Loss: 1.781909, Acc: 0.140625
Step: 304, Loss: 1.778380, Acc: 0.164062
Step: 312, Loss: 1.771533, Acc: 0.218750
Step: 320, Loss: 1.767029, Acc: 0.195312
Step: 328, Loss: 1.764550, Acc: 0.187500
Step: 336, Loss: 1.760174, Acc: 0.226562
Step: 344, Loss: 1.755720, Acc: 0.203125
Step: 352, Loss: 1.753862, Acc: 0.195312
Step: 360, Loss: 1.749106, Acc: 0.179688
Step: 368, Loss: 1.746830, Acc: 0.210938
Step: 376, Loss: 1.741100, Acc: 0.171875
Step: 384, Loss: 1.739354, Acc: 0.218750
Step: 392, Loss: 1.737934, Acc: 0.164062
Step: 400, Loss: 1.732849, Acc: 0.210938
Step: 408, Loss: 1.728866, Acc: 0.187500
Step: 416, Loss: 1.728727, Acc: 0.171875
Step: 424, Loss: 1.723807, Acc: 0.242188
Step: 432, Loss: 1.721293, Acc: 0.179688
Step: 440, Loss: 1.717085, Acc: 0.203125
Step: 448, Loss: 1.715034, Acc: 0.265625
Step: 456, Loss: 1.712775, Acc: 0.195312
Step: 464, Loss: 1.709648, Acc: 0.195312
Step: 472, Loss: 1.708550, Acc: 0.140625
Step: 480, Loss: 1.704852, Acc: 0.164062
Step: 488, Loss: 1.701667, Acc: 0.203125
Step: 496, Loss: 1.699457, Acc: 0.156250
Step: 504, Loss: 1.694827, Acc: 0.203125
Step: 512, Loss: 1.691554, Acc: 0.242188
Step: 520, Loss: 1.694769, Acc: 0.210938
Step: 528, Loss: 1.689299, Acc: 0.265625
Step: 536, Loss: 1.684696, Acc: 0.187500
Step: 544, Loss: 1.685943, Acc: 0.203125
Step: 552, Loss: 1.685336, Acc: 0.210938
Step: 560, Loss: 1.687260, Acc: 0.125000
Step: 568, Loss: 1.679483, Acc: 0.210938
Step: 576, Loss: 1.680096, Acc: 0.132812
Step: 584, Loss: 1.675464, Acc: 0.187500
Step: 592, Loss: 1.674781, Acc: 0.195312
Step: 600, Loss: 1.673819, Acc: 0.226562
Step: 608, Loss: 1.675170, Acc: 0.203125
Step: 616, Loss: 1.669990, Acc: 0.234375
Step: 624, Loss: 1.657605, Acc: 0.289062
Step: 632, Loss: 1.672135, Acc: 0.179688
Step: 640, Loss: 1.662671, Acc: 0.218750
Step: 648, Loss: 1.665248, Acc: 0.187500
Step: 656, Loss: 1.661418, Acc: 0.210938
Step: 664, Loss: 1.657556, Acc: 0.234375
Step: 672, Loss: 1.662677, Acc: 0.156250
Step: 680, Loss: 1.657363, Acc: 0.250000
Step: 688, Loss: 1.656133, Acc: 0.218750
Step: 696, Loss: 1.654513, Acc: 0.140625
Step: 704, Loss: 1.652894, Acc: 0.187500
Step: 712, Loss: 1.654973, Acc: 0.171875
Step: 720, Loss: 1.646506, Acc: 0.273438
Step: 728, Loss: 1.649600, Acc: 0.187500
Step: 736, Loss: 1.651619, Acc: 0.187500
Step: 744, Loss: 1.645893, Acc: 0.187500
Step: 752, Loss: 1.643481, Acc: 0.234375
Step: 760, Loss: 1.644712, Acc: 0.226562
Step: 768, Loss: 1.646693, Acc: 0.187500
Step: 776, Loss: 1.649408, Acc: 0.164062
Step: 784, Loss: 1.639169, Acc: 0.226562
Step: 792, Loss: 1.646630, Acc: 0.132812
Step: 800, Loss: 1.639785, Acc: 0.242188
Step: 808, Loss: 1.638881, Acc: 0.242188
Step: 816, Loss: 1.636681, Acc: 0.234375
Step: 824, Loss: 1.639997, Acc: 0.148438
Step: 832, Loss: 1.636992, Acc: 0.242188
Step: 840, Loss: 1.637957, Acc: 0.195312
Step: 848, Loss: 1.640642, Acc: 0.218750
Step: 856, Loss: 1.633097, Acc: 0.273438
Step: 864, Loss: 1.633426, Acc: 0.195312
Step: 872, Loss: 1.634523, Acc: 0.242188
Step: 880, Loss: 1.628872, Acc: 0.203125
Step: 888, Loss: 1.631108, Acc: 0.234375
Step: 896, Loss: 1.632131, Acc: 0.203125
Step: 904, Loss: 1.629124, Acc: 0.195312
Step: 912, Loss: 1.631689, Acc: 0.179688
Step: 920, Loss: 1.629206, Acc: 0.273438
Step: 928, Loss: 1.629272, Acc: 0.210938
Step: 936, Loss: 1.629496, Acc: 0.210938
Step: 944, Loss: 1.628444, Acc: 0.156250
Step: 952, Loss: 1.619050, Acc: 0.273438
Step: 960, Loss: 1.631366, Acc: 0.170543
Step: 968, Loss: 1.622529, Acc: 0.217054
Step: 976, Loss: 1.625904, Acc: 0.209302
Step: 984, Loss: 1.622905, Acc: 0.248062
Step: 992, Loss: 1.625666, Acc: 0.224806
Step: 1000, Loss: 1.626601, Acc: 0.155039
Step: 1008, Loss: 1.623315, Acc: 0.186047
Step: 1016, Loss: 1.617884, Acc: 0.217054
Step: 1024, Loss: 1.621591, Acc: 0.155039
Step: 1032, Loss: 1.625931, Acc: 0.224806
Step: 1040, Loss: 1.625001, Acc: 0.162791
Step: 1048, Loss: 1.618281, Acc: 0.255814
Step: 1056, Loss: 1.623779, Acc: 0.217054
Step: 1064, Loss: 1.617793, Acc: 0.257812
Step: 1072, Loss: 1.633931, Acc: 0.164062
Step: 1080, Loss: 1.621014, Acc: 0.226562
Step: 1088, Loss: 1.622098, Acc: 0.218750
Step: 1096, Loss: 1.618008, Acc: 0.289062
Step: 1104, Loss: 1.614918, Acc: 0.281250
Step: 1112, Loss: 1.614670, Acc: 0.210938
Step: 1120, Loss: 1.609228, Acc: 0.203125
Step: 1128, Loss: 1.602979, Acc: 0.273438
Step: 1136, Loss: 1.614510, Acc: 0.226562
Step: 1144, Loss: 1.630333, Acc: 0.218750
Step: 1152, Loss: 1.623222, Acc: 0.203125
Step: 1160, Loss: 1.617630, Acc: 0.242188
Step: 1168, Loss: 1.624360, Acc: 0.218750
Step: 1176, Loss: 1.615263, Acc: 0.218750
Step: 1184, Loss: 1.615407, Acc: 0.234375
Step: 1192, Loss: 1.614426, Acc: 0.242188
Step: 1200, Loss: 1.621496, Acc: 0.195312
Step: 1208, Loss: 1.606888, Acc: 0.210938
Step: 1216, Loss: 1.626454, Acc: 0.226562
Step: 1224, Loss: 1.630362, Acc: 0.156250
Step: 1232, Loss: 1.611862, Acc: 0.210938
Step: 1240, Loss: 1.617989, Acc: 0.195312
Step: 1248, Loss: 1.611144, Acc: 0.250000
Step: 1256, Loss: 1.615892, Acc: 0.218750
Step: 1264, Loss: 1.615649, Acc: 0.234375
Step: 1272, Loss: 1.612465, Acc: 0.257812
Step: 1280, Loss: 1.607580, Acc: 0.210938
Step: 1288, Loss: 1.623654, Acc: 0.179688
Step: 1296, Loss: 1.615387, Acc: 0.187500
Step: 1304, Loss: 1.603648, Acc: 0.242188
Step: 1312, Loss: 1.610772, Acc: 0.273438
Step: 1320, Loss: 1.609118, Acc: 0.226562
Step: 1328, Loss: 1.617978, Acc: 0.179688
Step: 1336, Loss: 1.599350, Acc: 0.234375
Step: 1344, Loss: 1.627707, Acc: 0.164062
Step: 1352, Loss: 1.611328, Acc: 0.218750
Step: 1360, Loss: 1.608979, Acc: 0.218750
Step: 1368, Loss: 1.601324, Acc: 0.203125
Step: 1376, Loss: 1.621234, Acc: 0.203125
Step: 1384, Loss: 1.612893, Acc: 0.210938
Step: 1392, Loss: 1.587696, Acc: 0.289062
Step: 1400, Loss: 1.595189, Acc: 0.289062
Step: 1408, Loss: 1.618739, Acc: 0.148438
Step: 1416, Loss: 1.605884, Acc: 0.117188
Step: 1424, Loss: 1.598072, Acc: 0.203125
Step: 1432, Loss: 1.611930, Acc: 0.218750
Step: 1440, Loss: 1.596537, Acc: 0.351562
Step: 1448, Loss: 1.594587, Acc: 0.281250
Step: 1456, Loss: 1.601348, Acc: 0.226562
Step: 1464, Loss: 1.612182, Acc: 0.203125
Step: 1472, Loss: 1.593552, Acc: 0.234375
Step: 1480, Loss: 1.594405, Acc: 0.234375
Step: 1488, Loss: 1.599163, Acc: 0.257812
Step: 1496, Loss: 1.605185, Acc: 0.218750
Step: 1504, Loss: 1.600629, Acc: 0.250000
Step: 1512, Loss: 1.608919, Acc: 0.179688
Step: 1520, Loss: 1.604940, Acc: 0.242188
Step: 1528, Loss: 1.589317, Acc: 0.265625
Step: 1536, Loss: 1.614067, Acc: 0.195312
Step: 1544, Loss: 1.608838, Acc: 0.195312
Step: 1552, Loss: 1.605421, Acc: 0.164062
Step: 1560, Loss: 1.592902, Acc: 0.273438
Step: 1568, Loss: 1.613636, Acc: 0.242188
Step: 1576, Loss: 1.603697, Acc: 0.210938
Step: 1584, Loss: 1.602853, Acc: 0.195312
Step: 1592, Loss: 1.597992, Acc: 0.273438
Step: 1600, Loss: 1.600051, Acc: 0.195312
Step: 1608, Loss: 1.603853, Acc: 0.234375
Step: 1616, Loss: 1.610756, Acc: 0.179688
Step: 1624, Loss: 1.605576, Acc: 0.218750
Step: 1632, Loss: 1.608231, Acc: 0.218750
Step: 1640, Loss: 1.600428, Acc: 0.265625
Step: 1648, Loss: 1.611680, Acc: 0.210938
Step: 1656, Loss: 1.600654, Acc: 0.226562
Step: 1664, Loss: 1.586975, Acc: 0.265625
Step: 1672, Loss: 1.616747, Acc: 0.218750
Step: 1680, Loss: 1.603894, Acc: 0.226562
Step: 1688, Loss: 1.605766, Acc: 0.281250
Step: 1696, Loss: 1.588748, Acc: 0.250000
Step: 1704, Loss: 1.627761, Acc: 0.164062
Step: 1712, Loss: 1.603192, Acc: 0.257812
Step: 1720, Loss: 1.610803, Acc: 0.226562
Step: 1728, Loss: 1.597193, Acc: 0.203125
