Step: 0, Loss: 1.984160, Acc: 0.224806
Step: 8, Loss: 1.978366, Acc: 0.162791
Step: 16, Loss: 1.962210, Acc: 0.224806
Step: 24, Loss: 1.956211, Acc: 0.193798
Step: 32, Loss: 1.959690, Acc: 0.155039
Step: 40, Loss: 1.947267, Acc: 0.193798
Step: 48, Loss: 1.943176, Acc: 0.162791
Step: 56, Loss: 1.936890, Acc: 0.139535
Step: 64, Loss: 1.928447, Acc: 0.224806
Step: 72, Loss: 1.923418, Acc: 0.209302
Step: 80, Loss: 1.916457, Acc: 0.209302
Step: 88, Loss: 1.914349, Acc: 0.178295
Step: 96, Loss: 1.903917, Acc: 0.209302
Step: 104, Loss: 1.898757, Acc: 0.226562
Step: 112, Loss: 1.897999, Acc: 0.125000
Step: 120, Loss: 1.880335, Acc: 0.242188
Step: 128, Loss: 1.876099, Acc: 0.164062
Step: 136, Loss: 1.870551, Acc: 0.250000
Step: 144, Loss: 1.863754, Acc: 0.226562
Step: 152, Loss: 1.868356, Acc: 0.164062
Step: 160, Loss: 1.853597, Acc: 0.179688
Step: 168, Loss: 1.844403, Acc: 0.218750
Step: 176, Loss: 1.837603, Acc: 0.187500
Step: 184, Loss: 1.835385, Acc: 0.187500
Step: 192, Loss: 1.828827, Acc: 0.156250
Step: 200, Loss: 1.824856, Acc: 0.203125
Step: 208, Loss: 1.817073, Acc: 0.187500
Step: 216, Loss: 1.807761, Acc: 0.250000
Step: 224, Loss: 1.808980, Acc: 0.164062
Step: 232, Loss: 1.800066, Acc: 0.210938
Step: 240, Loss: 1.800638, Acc: 0.171875
Step: 248, Loss: 1.795205, Acc: 0.156250
Step: 256, Loss: 1.787252, Acc: 0.210938
Step: 264, Loss: 1.785643, Acc: 0.132812
Step: 272, Loss: 1.777845, Acc: 0.195312
Step: 280, Loss: 1.779322, Acc: 0.210938
Step: 288, Loss: 1.772065, Acc: 0.179688
Step: 296, Loss: 1.757996, Acc: 0.218750
Step: 304, Loss: 1.765020, Acc: 0.187500
Step: 312, Loss: 1.756643, Acc: 0.179688
Step: 320, Loss: 1.754892, Acc: 0.203125
Step: 328, Loss: 1.748510, Acc: 0.164062
Step: 336, Loss: 1.742702, Acc: 0.218750
Step: 344, Loss: 1.735990, Acc: 0.273438
Step: 352, Loss: 1.733277, Acc: 0.242188
Step: 360, Loss: 1.731473, Acc: 0.195312
Step: 368, Loss: 1.729759, Acc: 0.226562
Step: 376, Loss: 1.725442, Acc: 0.203125
Step: 384, Loss: 1.722166, Acc: 0.226562
Step: 392, Loss: 1.719588, Acc: 0.187500
Step: 400, Loss: 1.714609, Acc: 0.195312
Step: 408, Loss: 1.708506, Acc: 0.242188
Step: 416, Loss: 1.708417, Acc: 0.203125
Step: 424, Loss: 1.703084, Acc: 0.226562
Step: 432, Loss: 1.703642, Acc: 0.171875
Step: 440, Loss: 1.701829, Acc: 0.187500
Step: 448, Loss: 1.698342, Acc: 0.257812
Step: 456, Loss: 1.695197, Acc: 0.195312
Step: 464, Loss: 1.690522, Acc: 0.234375
Step: 472, Loss: 1.686081, Acc: 0.210938
Step: 480, Loss: 1.689504, Acc: 0.195312
Step: 488, Loss: 1.685559, Acc: 0.195312
Step: 496, Loss: 1.687334, Acc: 0.187500
Step: 504, Loss: 1.681334, Acc: 0.203125
Step: 512, Loss: 1.678872, Acc: 0.234375
Step: 520, Loss: 1.676961, Acc: 0.195312
Step: 528, Loss: 1.675338, Acc: 0.156250
Step: 536, Loss: 1.672597, Acc: 0.203125
Step: 544, Loss: 1.670469, Acc: 0.195312
Step: 552, Loss: 1.668668, Acc: 0.179688
Step: 560, Loss: 1.666742, Acc: 0.226562
Step: 568, Loss: 1.664872, Acc: 0.195312
Step: 576, Loss: 1.663278, Acc: 0.195312
Step: 584, Loss: 1.660343, Acc: 0.234375
Step: 592, Loss: 1.659487, Acc: 0.226562
Step: 600, Loss: 1.657641, Acc: 0.218750
Step: 608, Loss: 1.657398, Acc: 0.195312
Step: 616, Loss: 1.656256, Acc: 0.195312
Step: 624, Loss: 1.654159, Acc: 0.164062
Step: 632, Loss: 1.649365, Acc: 0.234375
